title,href
"[단독] 크래프톤·한화, 피지컬 AI 합작사 설립",https://n.news.naver.com/mnews/article/011/0004598795?sid=105
"한솔PNS, 'AW 2026' 참가…제조산업 특화 AI 플랫폼 소개",https://n.news.naver.com/mnews/article/001/0015956547?sid=105
"삼성SDI, 피지컬AI용 전고체 배터리 첫 공개",https://n.news.naver.com/mnews/article/037/0000037818?sid=101
"전북에 피지컬AI·방산·수소기지…DH그룹, 1500억원 투자",https://n.news.naver.com/mnews/article/003/0013819928?sid=102
포천 농가서 AI 항원 검출…닭 4만5000마리 예방적 살처분,https://n.news.naver.com/mnews/article/015/0005261933?sid=102
[단독]가상환경서 첨단무기 테스트…크래프톤-한화에어로 ‘AI동맹’,https://n.news.naver.com/mnews/article/011/0004598794?sid=105
"크래프톤-한화에어로스페이스, 피지컬 AI 동맹...합작법인 설립",https://n.news.naver.com/mnews/article/018/0006234153?sid=105
"노동행정도 AI로…노동부, 산재 예측 모델 첫 공개",https://n.news.naver.com/mnews/article/421/0008823975?sid=101
크래프톤이 게임AI 넘어 피지컬AI로 보폭 넓히는 이유,https://n.news.naver.com/mnews/article/293/0000080845?sid=105
"""SK하이닉스, AI 메모리 수요 급증 최대 수혜…목표가 170만원""-KB",https://n.news.naver.com/mnews/article/015/0005261808?sid=101
