title,href
"구글, AI로 도시돌발홍수 24시간전 예측…규제사유로 韓은 제외",https://n.news.naver.com/mnews/article/001/0015956184?sid=104
'AI+물고기 실험' 결합해 난청부작용 억제 후보약물 발굴,https://n.news.naver.com/mnews/article/421/0008824123?sid=105
전 국민 AI 시대 연다…정부 '모두의 AI' 정책 가동,https://n.news.naver.com/mnews/article/001/0015952843?sid=105
넷플이 8700억에 인수한 AI기업…돈방석 앉은 창업자의 정체,https://n.news.naver.com/mnews/article/009/0005649065?sid=101
델타포스가 이란군 인질됐다고?…SNS에 'AI 가짜뉴스' 확산 논란(영상),https://n.news.naver.com/mnews/article/003/0013819678?sid=104
"NHN클라우드, 日 최대 IT쇼서 AI 인프라 승부수…GPU 앞세워 시장 공략",https://n.news.naver.com/mnews/article/092/0002414139?sid=105
"대전시 ""AI·기술혁신 기반 국방분야 상장기업 8곳 육성""",https://n.news.naver.com/mnews/article/003/0013817320?sid=102
"포항시, AI 추진단 공식 출범…""산업 혁신 대전환""",https://n.news.naver.com/mnews/article/003/0013818980?sid=102
"박수현, 1호 공약 '충남 AI대전환'…박정현·김하진 품었다",https://n.news.naver.com/mnews/article/003/0013817876?sid=102
AI 호황에 ICT 수출 '역대 최대'…증가율·흑자까지 3관왕,https://n.news.naver.com/mnews/article/001/0015954273?sid=105
