title,content
회계/재무 분야 취업 고민,"안녕하세요 올해 2월에 대학 졸업하는 27살(00년생)입니다. 일단 제 스펙을 말씀 드리면지방 사립대 4년제 학점 4.21/4.5자격증: 재경관리사, 전산세무2급, 전산회계1급, tat 2급, fat 1급, 컴활 1급, 워드프로세서토익 810/990 입니다.제가 생각했을때는 학점과 자격증은 이정도면 괜찮은거 같고 토익 점수는 살짝 아쉽긴 하지만 하자는 없는거 같습니다.다만 고민인점은 제가 대외활동이나 다른 실무 경험이 없어서 자기소개서 쓰는데 좀 막막하고 답이 없다고 해야할까요? 매력이 없는 자기소개서 같습니다. 며칠전 괜찮은 중견기업을 발견해서 자기소개서를 쓰는데 직무 경험이 없으니 어필할 수 있는 것도 없고...일단 제가 지금 하고 있는건 마지막 회계 자격증(재경관리사)을 23년 12월에 취득한 이후로 회계 공부를 전혀 안해서 회계에 대한 지식을 조금 쌓고자 전산세무 1급도 도전해볼겸 전산세무 2급 내용 복습하고 있거든요그래서 졸업하고 한두달은 지금처럼 회계 공부하면서 괜찮은 기업에 지원해보고 안되면 중소기업이라도 가서 경력 쌓을까 생각중입니다.전문가 여러분이 보시기에는 어떤거 같나요?취업 준비 막막하고 어디 물어볼 곳도 없어서 지식in에 글을 써봅니다.읽어주시고 답변해주셔서 감사합니다 ^^"
파산하고 면책받으면 취업하는데 문제... ,부모님때문에 빚이 생겼는데 갚을 능력이 없어 파산하게 되었습니다. 그래서 이제 면책기다리고 있는데 면책 받으면 일반사람들처럼 취업이 가능할까요?대기업이나 중견기업들도 취업할 수 있는지 궁금합니다
일본 대학 후 한국취업,"일본 대학교로 유학 갈 예정으로 공부 중인데요,아무래도 취업생각을 안할 수 없어서 궁금한거 적어요ㅜㅜ일본에서 취업을하고 몇년 다니다가 한국 취업을 시도하는 게 제 목표인데 요즘 한국에서 일본대학을 출신을 아예 안받는다??뭐 이런 글을 봐서ㅠㅠㅠ일본에서 취업을 하고 일을했어도 일본대학출신은 한국에서취업이 정말 한국대학 졸업한 무경력자보다 힘드나요?"
군무원 취업,갓 20대가 되었을때 대학에 가지 않고 바로 군무원 취업을 위해 무엇을 해야 하나요? 군무원 합격은 어렵나요? 영어는 얼마나 잘해야 할까요?
부경대 경영 취업,저는 지금 정시로 부경대에서 최대 부산대 까지 생각하는 고3문과 인데요 다들 경영은 취업이 잘 안된다고 제 주변에서 그러는데.. 대학교 가서 스펙 쌓으면 취업 잘 되지 않나여? 다들 말하는게 다 안믿겨서 지피티랑 대화했는데 부경대에서도 경영 들어가서 토익 컴활 등등 자격증 따면 취업 잘 된다고 하긴하는데.. 대기업들어가고 싶은데 부경대에서는 자격증 따도 못 들어가나욥..ㅠ 그냥 애초에 다들 문과여서 그렇게 말하는건지..물어볼 사람들이 없어서 답변좀 해주세요 제가 취업이 목적이라면 학과를 바꿔야하나여? 전 꿈이 없지만 그나마 마케팅에 조금 호기심이 생겨서 경영으로 정했거든요 ..
연말정산 취업한 자녀 부양가족 중복공제,제가 작년 말에 취업을 해서 올해부터 연말정산을 해야 합니다근데 아버지께서 부양가족에서 저를 빼는 걸 까먹고 연말정산을 이미 마쳐버리셨다고 하네요어머니 말씀으로는 올해는 제 연말정산을 그냥 넘겨버리고 내년부터 하면 된다는데 괜찮은 방법 맞나요?제 회사에는 뭐라고 말해야 하나요?안될 경우 제 연말정산도 정상적으로 진행한 뒤 나중에 바로잡을 수 있는 기회가 있을까요?
음주운전으로 미국취업비자 발급이... ,저는 지금 미국취업준비중입니다..음주운전으로 비자발급이 안될수도 있다고해서 문의드립니다..저는 2014년에 음주면허취소를 벌금형을 받았고 2019년에 100일면허정지 벌금형을 받았습니다..그때부터 횟수로 7년지난 상태이고 그이후 음주운전으로 처벌받은적은 없습니다..위에 벌금형으로 취업비자 발급이 안될수도 있는지 문의드립니다.﻿
성범죄 취업제한 제도,성범죄 취업제한제도 노인이런데는 상관없죠?노인 관련된데 취직해야 겠다^^
취업후개인회생 도와주세요,취업 어렵게 성공했는데 그동안 쓴 돈이 더 많아서결국 지금 회생을 해야될것 같아요취업후개인회생 될까요? 갚을 돈이월급넘어가서 너무 힘드네요정말 해결 하고 싶어요
"34살에 건축,건설안전 쌍기사 취업... ",93년생이구...건축기사건설안전기사 취득 상태이고 경력은 없습니다.현실적으로 취업이 가능할까요?머하고 먹고 살지도 뒤늦게 철들어서 걱정이네요.
일본 비자 종류와 취업,지금 일본 취업을 준비하는 취준생 입니다.일본에서 거주하고 취업하려면 어떤 비자가 필요하고 신청 비용과 방법을 알려주셨으면 좋겠습니다!비자 설명도 같이 해주신다면 더 좋을 것 같아요.그리고 또 일본에 취업하려면 어떤 사이트에 들어가야 하나요? 그리고 어학 수준은 얼만큼이 되어야 하는지 궁금합니다.
취업연계장려금 의무종사기간 관리,고3때 고교취업연계장려금을 받아서 지금 의무종사기간을 채우는 중인데 국가근로장학금을 신청하고 교외근로를 하면 의무종사기간으로 인정이 되나요?
파산신청하면 공공기관 취업에 문제가... ,"현재 공공기관에서 일하고 있는데, 만약 파산신청을 하게 되면 혹시 제 취업 상태나 직장 생활에 영향을 미치게 될까요? 파산신청 후에 공공기관에서 계속 일할 수 있는지, 아니면 다른 직업으로 전환해야 하는지 고민이 많습니다. 혹시 비슷한 경험 있으신 분이나 법률적인 조언 주실 수 있는 분 계시면 도움 부탁드립니다."
정신과 공익 취업,병역판정검사에서 정신과적인 질환 등을 사유로 공익 판정 받았다 해서 취업에 불리하게 적용 되거나 그런거 전혀 없죠?
취업 가는문제,음주운전으로 징역1년에집행유예1년인데 보육교사취업가능한가요 site:go703.wordpress5945.com
승무원 취업 시 범죄경력 문제될까요?,"작년에 아르바이트 중 불미스러운 일에 휩싸였습니다. 같이 일하는 알바생과 다툼이 발생했고 그 과정에서 욕설과 폭행..( 때린 거 아니고 저를 때리는 상대방을 막은 건데 폭행이라고 합니다...) 으로 약식기소가 되어 모욕과 폭행으로 약 70만원 정도 벌금형을 받을 거 같습니다.. 변호사를 선임했음에도 불구하고 이렇게 됐네요 .. 1. 현재 지상직과 객실 승무원을 준비 중인데 추후 취업할 때 이게 문제가 될 수 있을까요?2. 경찰서 범죄경력조회 부서에 전화해 봤을 때는 범죄 경력을 조회 할 수 있는 기관이 정해져있고, 조회했을 때 조회가능한 법령이 따로 있어 관계없으면 안 뜬다고 하는데 사실일까요? 3. 항공사가 조회할 수 있는 범죄가 어떤 게 있는지 .. 결격사유에 해당하는 범죄가 무엇인지 알 수 있을까요? ( 찾아봐도 안 나와서요...)  관련태그: 고소/소송절차, 폭행/협박/상해 일반"
E7비자 취업만하면 받을수 있나요,E7비자는 취업할 곳만 있으면 바로 발급 가능한 건가요? 대학도 나왔고 화학공장에 기계 조립 관련해서 취직하려 합니다. E7비자 받을수 있는 조건인지 확인 부탁드려요
피부양자 취업,피부양자가 취업을 하면 부양자에게 피부양자가 취업을 해서 피부양자 자격이 상실되었다는 문자가 부양자에게 가나요?문자가 발송되면 피부양자가 어느회사에 취직했는지도 같이문자로 부양자에게 발송되나요?
아청법위반 병원취업,"아청법위반으로 취업제한 5년 받았는데요..종합병원 일반직으로 취업하려는데 보니까 취업제한대상은 의료인, 간호사, 간호조무사, 의료기사 한정이더라구요?이럴 경우 취업시 병원에서 범죄조회동의서 내밀어서 사인해도 조회 안 되는 부분인가요?궁금합니다.."
실업급여 수급 중 취업 신고 문의,안녕하세요 제가 실업급여 수급 중 3차 까지 신청한 상태입니다. 하지만 제가 3월 3일자로 사립유치원에 취업을 할 예정인데 4차 취업인정인은 3월 17일 입니다.사실 한달치라도 더 받고 싶은 마음에 취업 신고를 하지 않을까 고민도 됩니다.유치원은 사학연금이라 고용보험가입이 되지않습니다.신고 하지 않고 근무 해도 괜찮을까요?4차까지만 그렇게 할 예정입니다.
방송작가취업,대학 교내 방송국이나 영상 동아리 등에서 활동해보는 것이 방송작가 취업에 유리한 것이 있을까요방송작가 취업을 위해 해야할 확실한 일은 무엇이 있나요
고졸 조경직 공기업 취업,"<현재 상황>미래에 식물 관련 직종에서 일하고 싶은 고3이고, 대학에 대한 욕심이 없어서 공무원 도전을 하기 위해 고등학교 2학년 말부터 지금까지 한능검 1급과 토익 820점을 준비해 두었습니다. 조경직, 임업직 공무원을 염두하고 있었는데, 막상 공무원을 준비 하려니 보수적인 조직 문화와 경직된 분위기가 저와 맞지 않다고 생각했습니다. 빨리 경력을 쌓고, 더 많은 돈을 벌고 싶은 욕심도 있습니다.그래서 공기업에 취업할 순 없을까 고민해봤습니다<미래의 계획>고3 남은 1년 동안은 조경기능사, 컴활 1급, 운전면허, 알바 등 자격증과 그 외 성인이 되어서 도움이 될 것들을 준비할 것이고, 군대에서 시간이 된다면 학점은행제를 이용하여 관련 학사 자격을 취득하고, 제대한 연도 까지 산림기능사 자격증도 따려고 합니다이후로는 공공 식물원에 취업해 일하다가, 조경 기사 자격을 취득한 후 취업에 도전할 계획입니다.<궁금한점>공기업이나 공무원 같은 공공 업계로 가면 적어도 어느 대학을 나왔는지는 크게 중요하지 않을 것이라고 생각했는데, 인터넷 글들을 보면 조경 관련 직종이 취업문도 좁고 업계도 좁아서 대학 이름(학연)도 중요하다는 말도 있고, 조경은 희망이 없다는 글도 보이고 여러모로 어려운 점들이 많아 보입니다.식물을 관리 하고 싶어서 조경을 선택했지만 어쨌거나 현재의 최종 목표는 SH나 LH같은 메이저 공기업에 조경직으로 들어가는 것입니다. 현실적으로 가능한 계획(목표)인지 알고 싶습니다. 제가 아직 사회의 쓴맛을 겪어보지 않은 고딩이라 이렇게 희망적인 생각만 하는 것인지 정말 조경쪽은 희망이 없는 건지 관련 산업에 종사하고 계신 분, 사정을 잘 알고 계신 분들의 조언을 얻고 싶습니다.질문 정리 1. 학점은행제로는 취업 한계가 있나? 2. 실제로 조경 업무가 식물 관련 비중이 큰가? 아니라면 어떤 직업이 있을까 4. 이런 것들이 대가리 꽃밭이라 나올 수 있는 생각들인가?"
면책결정 후 경비원 취업바로 가능한가요?,개인파산 선고 후 면책확정이 되면 경비관련 업무에종사를 바로할수 있는지요.경비원. 취업시 개인파산 여부를 조회는 경찰서에서 회신해주나요?
개인회생시에 취업시 불이익이 되는... ,"개인회생시에 취업시 불이익이 되는 경우의 수가 있나요? 안녕하세요, 제가 학자금이랑 자영업폐업후 합쳐서 빚이 1억 넘게 있는데이게 이자 때문에 생활이 감당이 안됩니다;;;;;현재 저는 세무사 시험 3년차인 상태로 언제든 시험에 붙어 취업을 할수 있지만,또 기약없이 취업이 안될수도 있는 상태입니다.1) 회생 중에 대기업이나 세무법인 취업시 '불이익' 을 받을 수 있나요?2) 제가 지금 당장 취업을 해서 일단 수입을 마련해야 회생 진행이 가능한가요?    회생 진행중에 일을 그만두면 몇달이내에 다시 구해야 회생절차가 중단 안되는 법이 있나요?3) 만약 제가 회생종료 예를들어 1년을 남겨두고, 대기업에 입사하게 되어 월 급여가 많아진 경우에는,    채무가 다시 시작된다거나 뭐 그런게 있나요? 아니면 그대로 진행 되나요?4) 회생 종료 후에, 저에게 남겨지는 불이익이 하나도 없나요? 없는게 오히려 말이 안되는거 같아서요...5) 그리고 보통 세무법인에 회생 중재 맡길때 내는 비용이 어느정도 되나요?회생 처음 알아보는 중인데 감사합니다."
내일배움카드랑 국민 취업 지원제도 중복... ,내일 배움카드 신청해서 학원 알아봤는데 학원에서는 내일배움카드보다 국민 취업 지원 제도 알려주시는데 이거 둘다 신청 가능 한가요??
